(49,0.0005)
(50,0.001)
(51,0.005)
(52,0.0265)
(53,0.05)
(54,0.098)
(55,0.1095)
(56,0.1495)
(57,0.19)
(58,0.1445)
(59,0.1085)
(60,0.061)
(61,0.0345)
(62,0.016)
(63,0.004)
(64,0.0015)
Team #	P(DCMP)	Pts 5%	Pts 50%	Pts 95%	Nickname
4125	1	0	0	0	Confidential
2980	1	0	0	0	The Whidbey Island Wild Cats
2557	1	0	0	0	SOTAbots 
1983	1	0	0	0	Skunk Works Robotics
6443	1	0	0	0	AEMBOT
5803	1	0	0	0	Apex Robotics
2990	1	0	0	0	Hotwire
2930	1	0	0	0	Sonic Squirrels
2910	1	0	0	0	Jack in the Bot
5827	0.991	0	2	6	Code Purple
1425	0.982	0	3	7	Error Code Xero
1540	0.968	0	4	8	Flaming Chickens
948	0.95	1	5	9	NRG (Newport Robotics Group)
5085	0.95	1	5	9	LakerBots
2976	0.95	1	5	9	Spartabots
2928	0.875	4	8	12	Viking Robotics
2046	0.845	5	9	13	Bear Metal
6445	0.752	8	12	16	CTEC Robotics
4043	0.752	8	12	16	NerdHerd
3574	0.752	8	12	16	HIGH TEKERZ
4309	0.72	9	13	17	4-H Botsmiths
7819	0.699	43	47	51	Automataardvarks
7803	0.699	43	47	51	Pioneer Robotics
7776	0.699	43	47	51	MVR
7696	0.699	43	47	51	Gear Hounds 
7493	0.699	43	47	51	Phoenix Force Robotics
4057	0.69	10	14	18	Klamath Basin Robotics - STEAMPUNK 
3588	0.69	10	14	18	the Talon
7034	0.663	11	15	19	2B Determined
6845	0.663	11	15	19	River Bots
4512	0.638	12	16	20	Otter Chaos
1318	0.638	12	16	20	Issaquah Robotics Society
4513	0.597	14	18	22	Circuit Breakers
5937	0.579	15	19	23	MI-Robotics
997	0.56	16	20	24	Spartan Robotics
2915	0.56	16	20	24	Pandamonium
7118	0.537	48	52	56	ScotBots
4060	0.518	18	22	26	Bearcat Robotics
2733	0.495	19	23	27	Pigmice
4579	0.471	20	24	28	RoboEagles
4469	0.447	21	25	29	R.A.I.D. (Raider Artificial Intelligence DIvision)
3711	0.447	21	25	29	Iron Mustang
2097	0.447	21	25	29	Phoenix Force Robotics
3238	0.426	22	26	30	Cyborg Ferrets
5450	0.406	23	27	31	SHREC - St. Helens Robotics and Engineering Club
5468	0.385	24	28	32	Chaos Theory
3663	0.385	24	28	32	CPR - Cedar Park Robotics
360	0.385	24	28	32	The Revolution
