1 	146 	133 - B.E.R.T. 	68 [NE District North Shore Event] 	78 [NE District Pine Tree Event] 	Qualified 	--- 	0
2 	141 	5687 - The Outliers 	72 [NE District Granite State Event] 	69 [NE District Southern CT Event] 	--- 	--- 	0
3 	140 	88 - TJ(Squared) 	69 [NE District Worcester Polytechnic Institute Event] 	71 [NE District SE Mass Event] 	--- 	--- 	0
4 	134 	230 - Gaelhawks 	73 [NE District Waterbury Event] 	61 [NE District Southern CT Event] 	--- 	--- 	0
5 	134 	238 - Crusaders 	73 [NE District Granite State Event] 	61 [NE District North Shore Event] 	--- 	--- 	0
6 	133 	2168 - Aluminum Falcons 	63 [NE District SE Mass Event] 	70 [NE District Rhode Island Event] 	--- 	--- 	0
7 	129 	4564 - Orange Chaos 	68 [NE District Worcester Polytechnic Institute Event] 	61 [NE District Pine Tree Event] 	--- 	--- 	0
8 	119 	78 - AIR STRIKE 	58 [NE District Worcester Polytechnic Institute Event] 	61 [NE District SE Mass Event] 	Qualified 	--- 	0
9 	114 	125 - NUTRONs 	65 [NE District North Shore Event] 	49 [NE District Rhode Island Event] 	Qualified 	--- 	0
10 	111 	6328 - Mechanical Advantage 	33 [NE District SE Mass Event] 	73 [NE District Rhode Island Event] 	Qualified 	--- 	5
11 	110 	95 - Grasshoppers 	47 [NE District Granite State Event] 	63 [NE District Southern CT Event] 	--- 	--- 	0
12 	105 	1058 - PVC Pirates 	59 [NE District Granite State Event] 	46 [NE District North Shore Event] 	--- 	--- 	0
13 	103 	6329 - The Bucks' Wrath 	45 [NE District Worcester Polytechnic Institute Event] 	53 [NE District Pine Tree Event] 	--- 	--- 	5
14 	98 	58 - The Riot Crew 	63 [NE District SE Mass Event] 	35 [NE District Pine Tree Event] 	--- 	--- 	0
15 	89 	3461 - Operation PEACCE Robotics 	42 [NE District Waterbury Event] 	47 [NE District Rhode Island Event] 	--- 	--- 	0
16 	87 	3236 - TRIFORCE 	39 [NE District Worcester Polytechnic Institute Event] 	48 [NE District Rhode Island Event] 	--- 	--- 	0
17 	87 	4557 - FullMetal Falcons 	37 [NE District Waterbury Event] 	50 [NE District Southern CT Event] 	Qualified 	--- 	0
18 	86 	3623 - Terror Bots 	46 [NE District Worcester Polytechnic Institute Event] 	40 [NE District Rhode Island Event] 	--- 	--- 	0
19 	86 	1100 - The T-Hawks 	36 [NE District Worcester Polytechnic Institute Event] 	50 [NE District Rhode Island Event] 	--- 	--- 	0
20 	83 	4905 - Andromeda One 	35 [NE District Worcester Polytechnic Institute Event] 	48 [NE District North Shore Event] 	--- 	--- 	0
21 	82 	663 - Robonauts 	42 [NE District Worcester Polytechnic Institute Event] 	40 [NE District Pine Tree Event] 	--- 	--- 	0
22 	82 	2067 - Apple Pi 	32 [NE District Waterbury Event] 	50 [NE District Southern CT Event] 	--- 	--- 	0
23 	80 	811 - Cardinals 	45 [NE District Granite State Event] 	35 [NE District North Shore Event] 	--- 	--- 	0
24 	79 	1729 - Team Inconceivable! 	33 [NE District Worcester Polytechnic Institute Event] 	46 [NE District Rhode Island Event] 	--- 	--- 	0
25 	78 	4041 - Iron Tigers 	48 [NE District SE Mass Event] 	30 [NE District Pine Tree Event] 	--- 	--- 	0
26 	77 	237 - Black Magic Robotics 	29 [NE District Waterbury Event] 	48 [NE District Pine Tree Event] 	--- 	--- 	0
27 	73 	319 - Big Bad Bob 	73 [NE District North Shore Event] 	Not Played 	--- 	--- 	0
28 	73 	6933 - Archytas, sponsored by NASA 	63 [NE District Granite State Event] 	Not Played 	--- 	--- 	10
29 	73 	2370 - IBOTS 	41 [NE District Worcester Polytechnic Institute Event] 	32 [NE District Pine Tree Event] 	--- 	--- 	0
30 	71 	195 - CyberKnights 	71 [NE District Southern CT Event] 	Not Played 	--- 	--- 	0
