1 	154 	1595 - The Dragons 	76 [PNW District - West Valley Event] 	78 [PNW District - Central Washington University Event] 	Qualified 	0
2 	148 	5803 - Apex Robotics 	70 [PNW District - Auburn Mountainview Event] 	73 [PNW District - Mount Vernon Event] 	--- 	5
3 	142 	3238 - Cyborg Ferrets 	65 [PNW District - West Valley Event] 	77 [PNW District - Mount Vernon Event] 	--- 	0
4 	109 	2046 - Bear Metal 	38 [PNW District - Auburn Mountainview Event] 	71 [PNW District - Central Washington University Event] 	--- 	0
5 	106 	5920 - VIKotics 	70 [PNW District - West Valley Event] 	31 [PNW District - Central Washington University Event] 	--- 	5
6 	99 	4061 - SciBorgs 	43 [PNW District - West Valley Event] 	56 [PNW District - Central Washington University Event] 	--- 	0
7 	93 	2907 - Lion Robotics 	35 [PNW District - Auburn Mountainview Event] 	58 [PNW District - Mount Vernon Event] 	--- 	0
8 	89 	4513 - Circuit Breakers 	63 [PNW District - West Valley Event] 	26 [PNW District - Central Washington University Event] 	--- 	0
9 	86 	4125 - Confidential 	23 [PNW District - West Valley Event] 	63 [PNW District - Central Washington University Event] 	Qualified 	0
10 	80 	4450 - Olympia Robotics Federation 	42 [PNW District - Auburn Mountainview Event] 	38 [PNW District - Central Washington University Event] 	--- 	0
11 	79 	3711 - Iron Mustang 	40 [PNW District - Wilsonville Event] 	39 [PNW District - Central Washington University Event] 	--- 	0
12 	76 	4915 - Spartronics 	76 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
13 	72 	2990 - Hotwire 	72 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
14 	71 	4911 - CyberKnights 	23 [PNW District - West Valley Event] 	48 [PNW District - Mount Vernon Event] 	--- 	0
15 	69 	4495 - Kittitas County Robotics/ Team... 	38 [PNW District - West Valley Event] 	31 [PNW District - Central Washington University Event] 	--- 	0
16 	68 	2550 - Skynet 	68 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
17 	67 	2147 - CHUCK 	33 [PNW District - West Valley Event] 	34 [PNW District - Central Washington University Event] 	--- 	0
18 	63 	3223 - Robotics Of Central Kitsap 	41 [PNW District - Auburn Mountainview Event] 	22 [PNW District - Central Washington University Event] 	--- 	0
19 	61 	2148 - Mechaknights 	26 [PNW District - West Valley Event] 	35 [PNW District - Central Washington University Event] 	--- 	0
20 	61 	3693 - GearHead Pirates 	25 [PNW District - West Valley Event] 	36 [PNW District - Central Washington University Event] 	--- 	0
21 	58 	3588 - the Talon 	25 [PNW District - Auburn Mountainview Event] 	33 [PNW District - Central Washington University Event] 	--- 	0
22 	57 	6076 - Mustangs 	41 [PNW District - West Valley Event] 	11 [PNW District - Central Washington University Event] 	--- 	5
23 	54 	3663 - CPR - Cedar Park Robotics 	54 [PNW District - Mount Vernon Event] 	Not Played 	--- 	0
24 	54 	955 - CV Robotics 	54 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
25 	54 	360 - The Revolution 	29 [PNW District - Auburn Mountainview Event] 	25 [PNW District - Mount Vernon Event] 	--- 	0
26 	54 	6129 - Shadle Park 	35 [PNW District - West Valley Event] 	14 [PNW District - Central Washington University Event] 	--- 	5
27 	52 	1983 - Skunk Works Robotics 	17 [PNW District - Auburn Mountainview Event] 	35 [PNW District - Central Washington University Event] 	--- 	0
28 	52 	5942 - Warriors 	24 [PNW District - West Valley Event] 	23 [PNW District - Central Washington University Event] 	--- 	5
29 	52 	4980 - Canine Crusaders 	33 [PNW District - West Valley Event] 	19 [PNW District - Central Washington University Event] 	--- 	0
30 	52 	6350 - The Enumclaw Hornets 	42 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	10
31 	49 	3674 - 4-H Clover Bots 	49 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
32 	49 	5588 - Holy Names Academy 	49 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
33 	48 	4173 - Bulldogs 	48 [PNW District - Mount Vernon Event] 	Not Played 	--- 	0
34 	48 	1540 - Flaming Chickens 	48 [PNW District - Wilsonville Event] 	Not Played 	Qualified 	0
35 	47 	3219 - TREAD 	47 [PNW District - Central Washington University Event] 	Not Played 	--- 	0
36 	47 	4309 - 4-H Botsmiths 	47 [PNW District - West Valley Event] 	Not Played 	--- 	0
37 	47 	2471 - Team Mean Machine 	47 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
38 	47 	1294 - Top Gun 	47 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
39 	46 	4469 - R.A.I.D. (Raider Artificial In... 	46 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
40 	46 	5468 - Chaos Theory 	46 [PNW District - West Valley Event] 	Not Played 	--- 	0
41 	46 	5827 - Code Purple 	41 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	5
42 	45 	4104 - Blackhawks 	33 [PNW District - West Valley Event] 	12 [PNW District - Central Washington University Event] 	--- 	0
43 	45 	2923 - Aggies 	25 [PNW District - West Valley Event] 	20 [PNW District - Central Washington University Event] 	--- 	0
44 	44 	2928 - Viking Robotics 	44 [PNW District - Mount Vernon Event] 	Not Played 	--- 	0
45 	43 	6445 - CTEC Robotics 	33 [PNW District - Wilsonville Event] 	Not Played 	--- 	10
46 	42 	3220 - Mechanics of Mayhem 	18 [PNW District - West Valley Event] 	24 [PNW District - Central Washington University Event] 	--- 	0
47 	41 	2930 - Sonic Squirrels 	41 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
48 	40 	4681 - Murphy's law 	40 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
49 	40 	2910 - Jack in the Bot 	40 [PNW District - Mount Vernon Event] 	Not Played 	--- 	0
50 	40 	6343 - Steel Ridge Robotics 	30 [PNW District - Wilsonville Event] 	Not Played 	--- 	10
51 	39 	5198 - Knight Tech 	39 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
52 	39 	753 - High Desert Droids 	39 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
53 	39 	1778 - Chill Out 	39 [PNW District - Mount Vernon Event] 	Not Played 	--- 	0
54 	37 	4089 - Stealth Robotics 	37 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
55 	37 	5085 - LakerBots 	37 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
56 	36 	2557 - SOTAbots 	36 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
57 	36 	957 - SWARM 	36 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
58 	36 	5450 - St. Helens Robotics and Engine... 	36 [PNW District - Central Washington University Event] 	Not Played 	--- 	0
59 	36 	4488 - Shockwave 	36 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
60 	36 	5975 - Beta Blues 	31 [PNW District - Central Washington University Event] 	Not Played 	--- 	5
61 	35 	1899 - Saints Robotics 	35 [PNW District - Auburn Mountainview Event] 	Not Played 	--- 	0
62 	34 	1425 - Error Code Xero 	34 [PNW District - Wilsonville Event] 	Not Played 	--- 	0
63 	34 	4608 - Duct Tape Warriors 	21 [PNW District - West Valley Event] 	13 [PNW District - Central Washington University Event] 	--- 	0
64 	33 	3575 - Okanogan FFA 	22 [PNW District - West Valley Event] 	11 [PNW District - Central Washington University Event] 	--- 	0
