1 	331 	3238 - Cyborg Ferrets 	65 [PNW District - West Valley Event] 	77 [PNW District - Mount Vernon Event] 	189 [Pacific Northwest District Championship] 	Qualified 	0
2 	329 	2471 - Team Mean Machine 	47 [PNW District - Wilsonville Event] 	75 [PNW District - Lake Oswego Event] 	207 [Pacific Northwest District Championship] 	Qualified 	0
3 	307 	2046 - Bear Metal 	38 [PNW District - Auburn Mountainview Event] 	71 [PNW District - Central Washington University Event] 	198 [Pacific Northwest District Championship] 	Qualified 	0
4 	301 	1595 - The Dragons 	76 [PNW District - West Valley Event] 	78 [PNW District - Central Washington University Event] 	147 [Pacific Northwest District Championship] 	Qualified 	0
5 	274 	3663 - CPR - Cedar Park Robotics 	54 [PNW District - Mount Vernon Event] 	46 [PNW District - Glacier Peak Event] 	174 [Pacific Northwest District Championship] 	Qualified 	0
6 	238 	5803 - Apex Robotics 	70 [PNW District - Auburn Mountainview Event] 	73 [PNW District - Mount Vernon Event] 	90 [Pacific Northwest District Championship] 	Qualified 	5
7 	232 	1778 - Chill Out 	39 [PNW District - Mount Vernon Event] 	61 [PNW District - Glacier Peak Event] 	132 [Pacific Northwest District Championship] 	Qualified 	0
8 	219 	492 - Titan Robotics Club 	61 [PNW District - Glacier Peak Event] 	44 [PNW District - Auburn Event] 	114 [Pacific Northwest District Championship] 	Qualified 	0
9 	211 	4488 - Shockwave 	36 [PNW District - Wilsonville Event] 	73 [PNW District - Clackamas Academy of Industrial Science Event] 	102 [Pacific Northwest District Championship] 	Qualified 	0
10 	191 	4662 - Byte Sized Robotics 	38 [PNW District - Clackamas Academy of Industrial Science Event] 	48 [PNW District - Lake Oswego Event] 	105 [Pacific Northwest District Championship] 	Qualified 	0
11 	190 	997 - Spartan Robotics 	28 [PNW District - Wilsonville Event] 	36 [PNW District - Clackamas Academy of Industrial Science Event] 	126 [Pacific Northwest District Championship] 	Qualified 	0
12 	187 	2910 - Jack in the Bot 	40 [PNW District - Mount Vernon Event] 	30 [PNW District - Glacier Peak Event] 	117 [Pacific Northwest District Championship] 	Qualified 	0
13 	179 	1425 - Error Code Xero 	34 [PNW District - Wilsonville Event] 	73 [PNW District - Clackamas Academy of Industrial Science Event] 	72 [Pacific Northwest District Championship] 	Qualified 	0
14 	171 	2907 - Lion Robotics 	35 [PNW District - Auburn Mountainview Event] 	58 [PNW District - Mount Vernon Event] 	78 [Pacific Northwest District Championship] 	Qualified 	0
15 	165 	2928 - Viking Robotics 	44 [PNW District - Mount Vernon Event] 	46 [PNW District - Glacier Peak Event] 	75 [Pacific Northwest District Championship] 	Qualified 	0
16 	165 	4915 - Spartronics 	76 [PNW District - Auburn Mountainview Event] 	53 [PNW District - Glacier Peak Event] 	36 [Pacific Northwest District Championship] 	Qualified 	0
17 	165 	3024 - My Favorite Team 	26 [PNW District - Wilsonville Event] 	70 [PNW District - Lake Oswego Event] 	69 [Pacific Northwest District Championship] 	Qualified 	0
18 	164 	4469 - R.A.I.D. (Raider Artificial In... 	46 [PNW District - Auburn Mountainview Event] 	28 [PNW District - Glacier Peak Event] 	90 [Pacific Northwest District Championship] 	Qualified 	0
19 	163 	1540 - Flaming Chickens 	48 [PNW District - Wilsonville Event] 	37 [PNW District - Clackamas Academy of Industrial Science Event] 	78 [Pacific Northwest District Championship] 	Qualified 	0
20 	163 	948 - NRG (Newport Robotics Group) 	31 [PNW District - Mount Vernon Event] 	48 [PNW District - Auburn Event] 	84 [Pacific Northwest District Championship] 	Qualified 	0
21 	161 	4125 - Confidential 	23 [PNW District - West Valley Event] 	63 [PNW District - Central Washington University Event] 	75 [Pacific Northwest District Championship] 	Qualified 	0
22 	157 	5295 - Aldernating Current 	26 [PNW District - Mount Vernon Event] 	41 [PNW District - Auburn Event] 	90 [Pacific Northwest District Championship] 	Qualified 	0
23 	153 	4061 - SciBorgs 	43 [PNW District - West Valley Event] 	56 [PNW District - Central Washington University Event] 	54 [Pacific Northwest District Championship] 	Qualified 	0
24 	150 	3674 - 4-H / CAM Academy CloverBots 	49 [PNW District - Wilsonville Event] 	41 [PNW District - Clackamas Academy of Industrial Science Event] 	60 [Pacific Northwest District Championship] 	Qualified 	0
25 	144 	6445 - CTEC Robotics 	33 [PNW District - Wilsonville Event] 	53 [PNW District - Clackamas Academy of Industrial Science Event] 	48 [Pacific Northwest District Championship] 	Qualified 	10
26 	141 	2550 - Skynet 	68 [PNW District - Wilsonville Event] 	34 [PNW District - Clackamas Academy of Industrial Science Event] 	39 [Pacific Northwest District Championship] 	DI 	0
27 	140 	4513 - Circuit Breakers 	63 [PNW District - West Valley Event] 	26 [PNW District - Central Washington University Event] 	51 [Pacific Northwest District Championship] 	Qualified 	0
28 	139 	2990 - Hotwire 	72 [PNW District - Wilsonville Event] 	31 [PNW District - Clackamas Academy of Industrial Science Event] 	36 [Pacific Northwest District Championship] 	Qualified 	0
29 	134 	1318 - Issaquah Robotics Society 	33 [PNW District - Auburn Mountainview Event] 	20 [PNW District - Glacier Peak Event] 	81 [Pacific Northwest District Championship] 	Qualified 	0
30 	134 	5970 - BeaverTronics 	35 [PNW District - Clackamas Academy of Industrial Science Event] 	49 [PNW District - Lake Oswego Event] 	45 [Pacific Northwest District Championship] 	Qualified 	5
31 	134 	753 - High Desert Droids 	39 [PNW District - Wilsonville Event] 	41 [PNW District - Clackamas Academy of Industrial Science Event] 	54 [Pacific Northwest District Championship] 	DI 	0
32 	133 	5920 - VIKotics 	70 [PNW District - West Valley Event] 	31 [PNW District - Central Washington University Event] 	27 [Pacific Northwest District Championship] 	DI 	5
33 	133 	488 - Team XBot 	30 [PNW District - Mount Vernon Event] 	28 [PNW District - Auburn Event] 	75 [Pacific Northwest District Championship] 	Qualified 	0
34 	133 	2147 - CHUCK 	33 [PNW District - West Valley Event] 	34 [PNW District - Central Washington University Event] 	66 [Pacific Northwest District Championship] 	Qualified 	0
35 	132 	5588 - Holy Names Academy 	49 [PNW District - Auburn Mountainview Event] 	26 [PNW District - Glacier Peak Event] 	57 [Pacific Northwest District Championship] 	Qualified 	0
36 	127 	2930 - Sonic Squirrels 	41 [PNW District - Auburn Mountainview Event] 	62 [PNW District - Glacier Peak Event] 	24 [Pacific Northwest District Championship] 	Qualified 	0
37 	126 	5468 - Chaos Theory 	46 [PNW District - West Valley Event] 	29 [PNW District - Clackamas Academy of Industrial Science Event] 	51 [Pacific Northwest District Championship] 	Qualified 	0
38 	125 	1294 - Top Gun 	47 [PNW District - Auburn Mountainview Event] 	54 [PNW District - Glacier Peak Event] 	24 [Pacific Northwest District Championship] 	Qualified 	0
39 	122 	3219 - TREAD 	47 [PNW District - Central Washington University Event] 	39 [PNW District - Auburn Event] 	36 [Pacific Northwest District Championship] 	Qualified 	0
40 	122 	4911 - CyberKnights 	23 [PNW District - West Valley Event] 	48 [PNW District - Mount Vernon Event] 	51 [Pacific Northwest District Championship] 	Qualified 	0
41 	121 	4918 - The Roboctopi 	30 [PNW District - Mount Vernon Event] 	64 [PNW District - Auburn Event] 	27 [Pacific Northwest District Championship] 	Qualified 	0
42 	121 	955 - CV Robotics 	54 [PNW District - Wilsonville Event] 	34 [PNW District - Clackamas Academy of Industrial Science Event] 	33 [Pacific Northwest District Championship] 	Qualified 	0
43 	121 	6343 - Steel Ridge Robotics 	30 [PNW District - Wilsonville Event] 	42 [PNW District - Lake Oswego Event] 	39 [Pacific Northwest District Championship] 	--- 	10
44 	118 	2557 - SOTAbots 	36 [PNW District - Auburn Mountainview Event] 	22 [PNW District - Glacier Peak Event] 	60 [Pacific Northwest District Championship] 	Qualified 	0
45 	115 	5827 - Code Purple 	41 [PNW District - Auburn Mountainview Event] 	36 [PNW District - Glacier Peak Event] 	33 [Pacific Northwest District Championship] 	--- 	5
46 	114 	2811 - StormBots 	28 [PNW District - Wilsonville Event] 	50 [PNW District - Clackamas Academy of Industrial Science Event] 	36 [Pacific Northwest District Championship] 	--- 	0
47 	113 	4450 - Olympia Robotics Federation 	42 [PNW District - Auburn Mountainview Event] 	38 [PNW District - Central Washington University Event] 	33 [Pacific Northwest District Championship] 	--- 	0
48 	111 	2374 - Crusader Bots 	21 [PNW District - Clackamas Academy of Industrial Science Event] 	42 [PNW District - Lake Oswego Event] 	48 [Pacific Northwest District Championship] 	--- 	0
49 	105 	5198 - Knight Tech 	39 [PNW District - Wilsonville Event] 	48 [PNW District - Clackamas Academy of Industrial Science Event] 	18 [Pacific Northwest District Championship] 	--- 	0
50 	103 	957 - SWARM 	36 [PNW District - Wilsonville Event] 	28 [PNW District - Clackamas Academy of Industrial Science Event] 	39 [Pacific Northwest District Championship] 	--- 	0
51 	102 	3223 - Robotics Of Central Kitsap 	41 [PNW District - Auburn Mountainview Event] 	22 [PNW District - Central Washington University Event] 	39 [Pacific Northwest District Championship] 	--- 	0
52 	100 	5975 - Beta Blues 	31 [PNW District - Central Washington University Event] 	49 [PNW District - Lake Oswego Event] 	15 [Pacific Northwest District Championship] 	--- 	5
53 	100 	3711 - Iron Mustang 	40 [PNW District - Wilsonville Event] 	39 [PNW District - Central Washington University Event] 	21 [Pacific Northwest District Championship] 	--- 	0
