1 	146 	67 - The HOT Team 	73 [FIM District - Waterford Event] 	73 [FIM District - Howell Event] 	Qualified 	Qualified 	0
2 	146 	33 - Killer Bees 	73 [FIM District - Waterford Event] 	73 [FIM District - Troy Event] 	Qualified 	--- 	0
3 	145 	2834 - Bionic Black Hawks 	76 [FIM District - Lakeview Event] 	69 [FIM District - Howell Event] 	Qualified 	--- 	0
4 	145 	2771 - Code Red Robotics / Stray Dogs 	75 [FIM District - East Kentwood Event] 	70 [FIM District - Ann Arbor Skyline Event] 	Qualified 	--- 	0
5 	144 	85 - B.O.B. (Built on Brains) 	76 [FIM District - Lakeview Event] 	68 [FIM District - West Michigan Event] 	Qualified 	--- 	0
6 	141 	3604 - Goon Squad 	73 [FIM District - Southfield Event] 	68 [FIM District - Woodhaven Event] 	Qualified 	--- 	0
7 	141 	3357 - COMETS 	70 [FIM District - Lansing Event] 	71 [FIM District - East Kentwood Event] 	Qualified 	--- 	0
8 	139 	1023 - Bedford Express 	61 [FIM District - Waterford Event] 	78 [FIM District - Livonia Event] 	Qualified 	--- 	0
9 	135 	27 - Team RUSH 	72 [FIM District - Livonia Event] 	63 [FIM District - Woodhaven Event] 	Qualified 	Qualified 	0
10 	128 	3688 - Norsemen 	57 [FIM District - St. Joseph Event] 	71 [FIM District - Traverse City Event] 	Qualified 	--- 	0
11 	128 	5505 - V2 Robotics 	57 [FIM District - Escanaba Event] 	66 [FIM District - Lake Superior State University Event] 	Qualified 	--- 	5
12 	127 	3534 - House of Cards 	60 [FIM District - Kettering University Event #2] 	67 [FIM District - Marysville Event] 	Qualified 	--- 	0
13 	126 	2767 - Stryke Force 	73 [FIM District - St. Joseph Event] 	53 [FIM District - East Kentwood Event] 	Qualified 	Qualified 	0
14 	126 	1718 - The Fighting Pi 	49 [FIM District - Waterford Event] 	77 [FIM District - Troy Event] 	Qualified 	--- 	0
15 	125 	3620 - Average Joes 	72 [FIM District - St. Joseph Event] 	53 [FIM District - East Kentwood Event] 	Qualified 	--- 	0
16 	125 	3546 - Buc'n'Gears 	49 [FIM District - St. Joseph Event] 	76 [FIM District - West Michigan Event] 	Qualified 	--- 	0
17 	124 	2137 - TORC 	51 [FIM District - Waterford Event] 	73 [FIM District - Marysville Event] 	Qualified 	--- 	0
18 	122 	5926 - MooBotics 	65 [FIM District - Kettering University Event #2] 	47 [FIM District - Marysville Event] 	Qualified 	--- 	10
19 	121 	1918 - NC GEARS 	73 [FIM District - Standish-Sterling Event] 	48 [FIM District - West Michigan Event] 	Qualified 	--- 	0
20 	119 	5460 - Strike Zone 	57 [FIM District - Kettering University Event #1] 	57 [FIM District - Lansing Event] 	Qualified 	--- 	5
21 	118 	3602 - RoboMos 	47 [FIM District - Standish-Sterling Event] 	71 [FIM District - Escanaba Event] 	Qualified 	--- 	0
22 	117 	5050 - Cow Town Robotics 	55 [FIM District - Livonia Event] 	62 [FIM District - Woodhaven Event] 	Qualified 	--- 	0
23 	116 	4384 - Benzene Bots 	69 [FIM District - Kettering University Event #1] 	47 [FIM District - Howell Event] 	Qualified 	--- 	0
24 	112 	5114 - Titanium Tigers 	53 [FIM District - Kettering University Event #1] 	59 [FIM District - Midland Event] 	Qualified 	--- 	0
25 	111 	5980 - East Grand Rapids Robotics 	55 [FIM District - Lakeview Event] 	46 [FIM District - West Michigan Event] 	Qualified 	--- 	10
26 	109 	4377 - Boyne City Blaze 	76 [FIM District - Standish-Sterling Event] 	33 [FIM District - Lake Superior State University Event] 	Qualified 	--- 	0
27 	108 	6193 - The Legend of Robotics 	40 [FIM District - Standish-Sterling Event] 	58 [FIM District - Midland Event] 	Qualified 	--- 	10
28 	107 	70 - More Martians 	67 [FIM District - Kettering University Event #1] 	40 [FIM District - Howell Event] 	Qualified 	--- 	0
29 	107 	494 - Martians 	63 [FIM District - Kettering University Event #2] 	44 [FIM District - Howell Event] 	Qualified 	--- 	0
30 	107 	503 - Frog Force 	59 [FIM District - Center Line Event] 	48 [FIM District - Livonia Event] 	Qualified 	--- 	0
31 	107 	3618 - Petoskey Paladins 	56 [FIM District - Standish-Sterling Event] 	51 [FIM District - Midland Event] 	Qualified 	--- 	0
32 	106 	107 - Team R.O.B.O.T.I.C.S. 	36 [FIM District - Standish-Sterling Event] 	70 [FIM District - West Michigan Event] 	Qualified 	--- 	0
33 	105 	5907 - CC Shambots 	48 [FIM District - Livonia Event] 	47 [FIM District - Woodhaven Event] 	Qualified 	--- 	10
34 	105 	3538 - RoboJackets 	37 [FIM District - Southfield Event] 	68 [FIM District - Midland Event] 	Qualified 	--- 	0
35 	104 	5448 - CC Automationeers 	58 [FIM District - Standish-Sterling Event] 	41 [FIM District - West Michigan Event] 	Qualified 	--- 	5
36 	103 	2619 - The Charge 	25 [FIM District - Standish-Sterling Event] 	78 [FIM District - Midland Event] 	Qualified 	--- 	0
37 	102 	2054 - Tech Vikes 	60 [FIM District - West Michigan Event] 	42 [FIM District - East Kentwood Event] 	Qualified 	--- 	0
38 	102 	6098 - bIrobot 	43 [FIM District - Standish-Sterling Event] 	49 [FIM District - Marysville Event] 	Qualified 	--- 	10
39 	101 	4391 - BraveBots 	73 [FIM District - Escanaba Event] 	28 [FIM District - Traverse City Event] 	Qualified 	--- 	0
40 	101 	3452 - GreengineerZ 	53 [FIM District - St. Joseph Event] 	48 [FIM District - Ann Arbor Skyline Event] 	Qualified 	--- 	0
41 	101 	3641 - The Flying Toasters 	37 [FIM District - Livonia Event] 	64 [FIM District - Ann Arbor Skyline Event] 	Qualified 	--- 	0
42 	99 	4216 - Blue Ops Robotics 	26 [FIM District - Lansing Event] 	73 [FIM District - Ann Arbor Skyline Event] 	Qualified 	--- 	0
43 	99 	5878 - The Great Lakers 	44 [FIM District - Escanaba Event] 	45 [FIM District - Traverse City Event] 	Qualified 	--- 	10
44 	98 	123 - Team - Cosmos 	48 [FIM District - Southfield Event] 	50 [FIM District - Center Line Event] 	Qualified 	--- 	0
45 	98 	217 - ThunderChickens 	60 [FIM District - Marysville Event] 	38 [FIM District - Troy Event] 	Qualified 	--- 	0
46 	98 	2337 - EngiNERDs 	35 [FIM District - Kettering University Event #2] 	63 [FIM District - Troy Event] 	Qualified 	--- 	0
47 	98 	548 - Robostangs 	47 [FIM District - Southfield Event] 	51 [FIM District - Livonia Event] 	Qualified 	--- 	0
48 	96 	3656 - Dreadbots 	57 [FIM District - Kettering University Event #1] 	39 [FIM District - Lakeview Event] 	Qualified 	--- 	0
49 	96 	6086 - Ignition 	41 [FIM District - Kettering University Event #1] 	45 [FIM District - Kettering University Event #2] 	Qualified 	--- 	10
50 	96 	4381 - Twisted Devils 	43 [FIM District - Lakeview Event] 	53 [FIM District - Lansing Event] 	Qualified 	--- 	0
51 	95 	5150 - Hybrid Hornets 	53 [FIM District - Kettering University Event #1] 	42 [FIM District - Marysville Event] 	Qualified 	--- 	0
52 	94 	1481 - The Riveters 	36 [FIM District - Southfield Event] 	58 [FIM District - Center Line Event] 	Qualified 	--- 	0
53 	93 	3548 - RoboRavens2 	66 [FIM District - Southfield Event] 	27 [FIM District - Livonia Event] 	Qualified 	--- 	0
54 	93 	74 - Team C.H.A.O.S. 	23 [FIM District - West Michigan Event] 	70 [FIM District - Traverse City Event] 	Qualified 	--- 	0
55 	92 	3655 - Tractor Technicians 	54 [FIM District - Waterford Event] 	38 [FIM District - Lansing Event] 	Qualified 	--- 	0
56 	92 	3536 - Electro Eagles 	48 [FIM District - Howell Event] 	44 [FIM District - Ann Arbor Skyline Event] 	Qualified 	--- 	0
